name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,mean_40,variance_40,mean_50,variance_50,cap
smote,3,"(0, 3, 1)","(20, 2, 1)",1e-06,0.48278735,0.000445289524715,0.6243120249999999,0.0019752657039056,0.6697929499999999,0.0018533961606725,0.6657571,0.0043790497281899,0.6817270750000001,0.0050129350846506,0.65908395,0.0025344791315225,
smote,3,"(0, 3, 1)","(20, 2, 1)",5e-07,0.47195715,0.0013721153755025,0.6668466000000001,0.000672432761715,0.6758923999999998,0.0004035268432399,0.6786253,0.0007394464809849,0.686795275,0.0006400671405181,0.6796940250000001,0.0022220045698806,
smote,3,"(0, 3, 1)","(20, 2, 1)",1e-07,0.477684675,0.0048725655511881,0.6301464249999998,0.0003089219448256,0.652783475,0.0001848825325181,0.659271875,8.018051430312442e-05,0.668935175,0.0001503581838006,0.672420875,0.0001041807160031,
smote,3,"(0, 3, 1)","(20, 2, 1)",1e-08,0.532998375,0.0012236361846906,0.565564425,0.0007018643890256,0.5795067249999999,0.0004765746024181,0.590545125,0.0003243692296406,0.5995233750000001,0.0001713043062906,0.6078081000000001,0.0001262233321025,
focal_loss,2,"(0, 1)","(100, 1)",0.0001,0.5483786499999999,0.0094237419281024,0.6167619499999999,0.0133453095594225,0.607981,0.0166036132868,0.6964437499999999,0.0144237312830125,0.69472715,0.0129117069855025,0.7130467,0.01652904619321,
capped_smote,2,"(0, 1)","(100, 1)",1e-05,0.54318125,0.0067367463853124,0.7476721500000001,0.0008781223924525,0.7617344,0.0013233277849399,0.77674395,0.0003280378837724,0.7788855,0.00044545898555,0.7715554,0.00043486701179,10.0
capped_smote,2,"(0, 1)","(100, 1)",1e-06,0.56352085,0.0092045860393025,0.65820935,0.0035718265689525,0.6701122500000001,0.0025910580318625,0.6855855500000001,0.0015832633272224,0.70155805,0.0008734471504224,0.7089445499999999,0.0005547210205225,10.0
capped_smote,2,"(0, 1)","(100, 1)",5e-07,0.5259549499999999,0.0080972348796225,0.6480967500000001,0.0015300797522625,0.6594563499999999,0.0012717165961024,0.6680343,0.00124076716571,0.67787285,0.0010640357701025,0.68623385,0.0009757232530024,10.0
capped_smote,2,"(0, 1)","(100, 1)",1e-05,0.5152957,0.00558823221086,0.7433302000000002,0.00187433921706,0.7516905999999999,0.00128236968259,0.7831488999999999,0.0002029638239899,0.7784379999999999,0.00019212105285,0.7681532000000001,0.00175514157586,1.0
capped_smote,2,"(0, 1)","(100, 1)",1e-06,0.5518983000000001,0.00826951881781,0.6533607499999999,0.0019069731758624,0.6693032999999999,0.0013248110449599,0.6836126000000001,0.0010562367668399,0.69594085,0.0009239575457524,0.70552505,0.0008958574614225,1.0
capped_smote,2,"(0, 1)","(100, 1)",5e-07,0.52345895,0.0047001766118724,0.60987065,0.0027309435942025,0.62256085,0.0024456902967524,0.63504765,0.0021559191074524,0.6465922,0.0019745657645599,0.65649425,0.0019587169014625,1.0
capped_smote,2,"(0, 1)","(100, 1)",1e-05,0.5268281,0.00465876117784,0.7684072000000001,0.0008234180144099,0.7861852,0.00086974159051,0.7213385999999999,0.0056642452447899,0.7721178499999999,0.0030996374880524,0.7314596499999999,0.0063736655694525,5.0
capped_smote,2,"(0, 1)","(100, 1)",1e-06,0.5187666999999999,0.0038492338406599,0.6185449500000001,0.0027704217164225,0.6602513,0.00215222627506,0.68425775,0.0014970384739625,0.70497415,0.0014746784465025,0.7111887,0.00069390217241,5.0
