name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,mean_40,variance_40,mean_50,variance_50
ratio,2,"(0, 1)","(10, 1)",1e-05,0.5483786499999999,0.0094237419281024,0.8266804999999998,0.0118802109088,0.8041347,0.0115656866359099,0.8146580499999999,0.0085114735273224,0.7939216,0.01998303287899,0.8373489,0.0025416389521899
ratio,2,"(0, 1)","(10, 1)",1e-06,0.53490505,0.0086060348989724,0.7311696000000001,7.881618828999965e-05,0.7631885,8.456726540000006e-05,0.7772351500000001,8.934477120250037e-05,0.7817387000000002,0.00011782319826,0.7873993499999999,0.0001114861822524
ratio,2,"(0, 1)","(10, 1)",5e-07,0.5275359,0.00833120921169,0.6799924500000001,0.0009306843808225,0.7270427999999999,0.00033328367921,0.7500053,0.0002013170067599,0.7636376,0.0001967268574899,0.7726424,0.00010599488609
ratio,2,"(0, 1)","(10, 1)",1e-07,0.5117162999999999,0.0057660317906599,0.62734585,0.0013089951766524,0.6561937500000001,0.0010354100094624,0.6778421,0.00073573872204,0.69438655,0.0004738700866224,0.7075593,0.0003400596723099
ratio,2,"(0, 1)","(10, 1)",1e-08,0.5146188,0.00386855436301,0.6051351,0.0057452231246899,0.6017273499999999,0.0069926887010524,0.5944787,0.00832507364726,0.5941295,0.0085879009837499,0.59600665,0.0084700843502524
oversampled,2,"(0, 1)","(10, 1)",1e-05,0.51091595,0.0075115505581724,0.7688263,0.01258132575786,0.8028584500000001,0.0050012341564725,0.83113715,0.0020944120912025,0.8072063499999999,0.0047375497282024,0.8298805,0.0023764419493
oversampled,2,"(0, 1)","(10, 1)",1e-06,0.5027152,0.00668085929286,0.7791980000000001,0.0001940649879999,0.798506,0.0002378449917999,0.8027914,0.0001370033815399,0.7934121,0.00046022614519,0.79718205,0.0002949650685725
oversampled,2,"(0, 1)","(10, 1)",5e-07,0.5438949999999999,0.0038631581191,0.76639225,0.0002573721750125,0.78385985,0.0002910288525025,0.7946798500000001,0.0001673198401525,0.7964800500000001,0.0002058999697224,0.7997762500000001,0.0001500030418624
oversampled,2,"(0, 1)","(10, 1)",1e-07,0.5125384999999999,0.0049203729693999,0.6576126,0.0014071653768899,0.7122099000000001,0.0004780829587399,0.73508495,0.0002475651936225,0.7477175999999999,0.0001687254834899,0.75554935,0.0001084402596025
oversampled,2,"(0, 1)","(10, 1)",1e-08,0.534235,0.0050912499129499,0.55185135,0.0024314087412525,0.5757521499999999,0.0020811107897524,0.5978661,0.00167343970229,0.6162421499999999,0.0013912574540025,0.6320681,0.0011643072865899
both_sampled,2,"(0, 1)","(10, 1)",1e-05,0.4967463500000001,0.0084030435498525,0.81236595,0.0026781178666224,0.81717595,0.0038477686076224,0.8252466999999999,0.0044519724158099,0.8184272,0.00255332344026,0.8069713500000001,0.0084456085461525
both_sampled,2,"(0, 1)","(10, 1)",1e-06,0.5173834,0.00893335199064,0.7651437499999999,5.4130415712500046e-05,0.7869954499999999,7.90401361725005e-05,0.7999874499999999,3.159266642249964e-05,0.7990945,6.84438984500002e-05,0.8078027999999999,0.0001683092473599
both_sampled,2,"(0, 1)","(10, 1)",5e-07,0.49642405,0.0053734379314725,0.7328284500000001,0.0003021936080224,0.762768,9.006599650000006e-05,0.77627855,9.796467567250009e-05,0.7798168,8.644266101000004e-05,0.784187,0.0001108596314
both_sampled,2,"(0, 1)","(10, 1)",1e-07,0.5156009000000001,0.00529060725834,0.6035098999999999,0.00228860654129,0.67143365,0.0010720613053025,0.70632205,0.0004890177915225,0.7265428999999999,0.00033824877664,0.73950005,0.0002077018595724
both_sampled,2,"(0, 1)","(10, 1)",1e-08,0.5434793,0.00835057033326,0.5508295999999999,0.00575819653789,0.5638402,0.0048595447653099,0.57587225,0.0041588095255625,0.5881071999999999,0.00353423910311,0.59923145,0.0029519936824225
weighted,2,"(0, 1)","(10, 1)",1e-05,0.5553053499999999,0.0061494851140024,0.7677701,0.00483430859049,0.7498267500000001,0.0099599630330625,0.7915017499999999,0.0035711637265125,0.8085774000000001,0.00116661661764,0.79297595,0.0007846381799225
weighted,2,"(0, 1)","(10, 1)",1e-06,0.55072315,0.0040884089932025,0.7998755,0.0018067188960999,0.83129185,0.0003066619815025,0.7957552999999999,0.0018673876978599,0.8283415,0.0023305300685999,0.84656065,0.0004225295488525
weighted,2,"(0, 1)","(10, 1)",5e-07,0.4863906999999999,0.0114255132544599,0.7718211499999998,0.0001926665449024,0.788725,0.00027878500325,0.7919555500000002,0.0006129236729224,0.8028048,0.0001106328691599,0.8009491000000001,7.854367993999992e-05
weighted,2,"(0, 1)","(10, 1)",1e-07,0.5045356,0.0047985133144899,0.6827455500000001,0.0010820876845724,0.7293534,0.00047158067609,0.7437592,0.00050652960921,0.75779505,0.0002294877329725,0.76529685,0.0003231642762025
weighted,2,"(0, 1)","(10, 1)",1e-08,0.5273950999999999,0.0079066232697899,0.547117,0.0103730090637999,0.5683710000000001,0.00822492966315,0.5894032,0.0063001984601599,0.6087967000000001,0.0047006568946099,0.625768,0.0034959148185999
ratio,3,"(0, 3, 1)","(20, 2, 1)",1e-05,0.5060714,0.00054846136854,0.608594925,0.0058981102051256,0.5711643000000001,0.0063530239697725,0.56631605,0.00382046567691,0.656353825,0.0072927794765881,0.660636975,0.0048340285883931
ratio,3,"(0, 3, 1)","(20, 2, 1)",1e-06,0.51268425,0.0041378589941749,0.6234449749999998,0.0001212590354431,0.6445124499999999,0.0001898747213224,0.644086425,0.0004044974526631,0.6429249749999999,0.0003522557688806,0.6386320499999999,0.0003693986102225
ratio,3,"(0, 3, 1)","(20, 2, 1)",5e-07,0.49751775,0.0008611848369249,0.6112242499999999,0.0002689591193,0.6250408999999999,0.0001423467833649,0.6284753249999999,0.0002204329063131,0.630236325,6.859583512562432e-05,0.6334208,0.0002072117649724
ratio,3,"(0, 3, 1)","(20, 2, 1)",1e-07,0.5083570000000001,0.0002322901945375,0.58443295,0.0002279918580475,0.595093425,0.0001246150598881,0.6032316000000001,0.000113274553015,0.6091409999999999,0.0001126561459249,0.6144472750000001,9.123275655562451e-05
ratio,3,"(0, 3, 1)","(20, 2, 1)",1e-08,0.4807986499999999,0.0006930502534899,0.5495523,0.0012417041457975,0.562249625,0.0008599233359406,0.5703708,0.0008776162639349,0.5735669,0.00082544880244,0.576487075,0.0007559693624756
oversampled,3,"(0, 3, 1)","(20, 2, 1)",1e-05,0.5191944000000001,0.0006998253311524,0.723932225,0.0049263397614931,0.6961617249999998,0.0040222828978556,0.7185889249999999,0.0023446558055006,0.6934079499999999,0.0061364192046725,0.68784055,0.0043456416218225
oversampled,3,"(0, 3, 1)","(20, 2, 1)",1e-06,0.4843223999999999,0.00065172601334,0.7025567,0.0004361854533599,0.707230125,0.0004995394584906,0.7212141750000001,6.80126269631248e-05,0.7209973000000002,8.942054124750044e-05,0.7060443750000001,0.0006435898063656
oversampled,3,"(0, 3, 1)","(20, 2, 1)",5e-07,0.4970114,0.0012015028785274,0.6980596499999999,0.0002644381437149,0.706810675,0.0001156969147881,0.708517325,0.0002273765693381,0.7138815749999999,6.618725733812484e-05,0.7134194749999999,6.860856364312483e-05
oversampled,3,"(0, 3, 1)","(20, 2, 1)",1e-07,0.48150495,0.0049578922571975,0.6543609250000001,0.0003459548043506,0.681986075,0.0001183837854131,0.6932818500000001,0.0001392242945525,0.6957422499999999,9.306949064999944e-05,0.69958875,8.497082299999996e-05
oversampled,3,"(0, 3, 1)","(20, 2, 1)",1e-08,0.51278475,0.0014266515568999,0.556047325,0.0016869611503756,0.5802219250000001,0.0012706816633256,0.6018980999999999,0.0007430503483774,0.6162020750000001,0.0006874923011881,0.6298440249999999,0.0004473601611431
undersampled,3,"(0, 3, 1)","(20, 2, 1)",1e-05,0.509989275,0.0023759433884056,0.6622286499999999,0.0066649089792775,0.6766401999999999,0.00409008091246,0.660167475,0.0074833230775431,0.6736566249999999,0.0029211440539906,0.66947065,0.0038374279581399
undersampled,3,"(0, 3, 1)","(20, 2, 1)",1e-06,0.508221225,0.0005430274561306,0.6457554249999999,0.0008441689557756,0.6750612500000001,0.0001976071028999,0.6828291,0.0002842914178025,0.690904625,0.0002355307703531,0.695318625,0.0001749008611531
undersampled,3,"(0, 3, 1)","(20, 2, 1)",5e-07,0.5035963999999999,0.00150430361919,0.6109259,0.0009605246237025,0.6438236,0.000648781617815,0.65464485,0.0004576869268775,0.667802075,0.0002105604299256,0.680902875,0.0001485081000281
